tag_id;taggable_id;taggable_type
60;1;Proposal
5;1;Proposal
75;1;Proposal
76;1;Proposal
74;1;Proposal
50;2;Proposal
0;2;Proposal
10;2;Proposal
20;2;Proposal
51;2;Proposal
80;3;Proposal
25;3;Proposal
26;3;Proposal
29;3;Proposal
27;3;Proposal
85;4;Proposal
70;4;Proposal
86;4;Proposal
87;4;Proposal
45;4;Proposal
105;5;Proposal
65;5;Proposal
90;5;Proposal
91;5;Proposal
23;5;Proposal
35;6;Proposal
190;6;Proposal
36;6;Proposal
187;6;Proposal
185;6;Proposal
5;7;Proposal
15;7;Proposal
16;7;Proposal
17;7;Proposal
65;7;Proposal
65;8;Proposal
15;8;Proposal
23;8;Proposal
130;8;Proposal
67;8;Proposal
145;9;Proposal
15;9;Proposal
91;9;Proposal
147;9;Proposal
16;9;Proposal
70;10;Proposal
185;10;Proposal
190;10;Proposal
187;10;Proposal
65;10;Proposal
5;11;Proposal
65;11;Proposal
23;11;Proposal
67;11;Proposal
68;11;Proposal
10;12;Proposal
105;12;Proposal
185;12;Proposal
50;12;Proposal
55;12;Proposal
145;13;Proposal
65;13;Proposal
15;13;Proposal
23;13;Proposal
91;13;Proposal
0;14;Proposal
50;14;Proposal
45;14;Proposal
46;14;Proposal
90;14;Proposal
5;15;Proposal
70;15;Proposal
105;15;Proposal
60;15;Proposal
125;15;Proposal
140;16;Proposal
145;16;Proposal
141;16;Proposal
120;16;Proposal
142;16;Proposal
5;17;Proposal
40;17;Proposal
60;17;Proposal
20;17;Proposal
65;17;Proposal
185;18;Proposal
10;18;Proposal
5;18;Proposal
186;18;Proposal
187;18;Proposal
75;19;Proposal
60;19;Proposal
90;19;Proposal
5;19;Proposal
25;19;Proposal
5;20;Proposal
20;20;Proposal
170;20;Proposal
41;20;Proposal
128;20;Proposal
135;21;Proposal
130;21;Proposal
20;21;Proposal
70;21;Proposal
0;21;Proposal
185;22;Proposal
70;22;Proposal
20;22;Proposal
5;22;Proposal
187;22;Proposal
125;23;Proposal
60;23;Proposal
155;23;Proposal
0;23;Proposal
145;23;Proposal
120;24;Proposal
65;24;Proposal
69;24;Proposal
23;24;Proposal
67;24;Proposal
20;25;Proposal
165;25;Proposal
4;25;Proposal
166;25;Proposal
23;25;Proposal
175;26;Proposal
20;26;Proposal
11;26;Proposal
177;26;Proposal
178;26;Proposal
65;27;Proposal
23;27;Proposal
120;27;Proposal
70;27;Proposal
69;27;Proposal
120;28;Proposal
65;28;Proposal
69;28;Proposal
23;28;Proposal
105;28;Proposal
130;29;Proposal
20;29;Proposal
65;29;Proposal
23;29;Proposal
0;29;Proposal
70;30;Proposal
15;30;Proposal
65;30;Proposal
140;30;Proposal
141;30;Proposal
40;31;Proposal
0;31;Proposal
80;31;Proposal
105;31;Proposal
41;31;Proposal
190;32;Proposal
130;32;Proposal
70;32;Proposal
187;32;Proposal
20;32;Proposal
10;33;Proposal
70;33;Proposal
50;33;Proposal
65;33;Proposal
45;33;Proposal
90;34;Proposal
120;34;Proposal
175;34;Proposal
11;34;Proposal
91;34;Proposal
190;35;Proposal
187;35;Proposal
10;35;Proposal
70;35;Proposal
192;35;Proposal
0;36;Proposal
185;36;Proposal
20;36;Proposal
120;36;Proposal
105;36;Proposal
0;37;Proposal
70;37;Proposal
35;37;Proposal
36;37;Proposal
1;37;Proposal
5;38;Proposal
20;38;Proposal
155;38;Proposal
65;38;Proposal
70;38;Proposal
120;39;Proposal
90;39;Proposal
69;39;Proposal
91;39;Proposal
65;39;Proposal
125;40;Proposal
75;40;Proposal
90;40;Proposal
5;40;Proposal
115;40;Proposal
65;41;Proposal
23;41;Proposal
150;41;Proposal
120;41;Proposal
67;41;Proposal
135;42;Proposal
145;42;Proposal
105;42;Proposal
125;42;Proposal
25;42;Proposal
20;43;Proposal
0;43;Proposal
195;43;Proposal
105;43;Proposal
70;43;Proposal
90;44;Proposal
70;44;Proposal
20;44;Proposal
91;44;Proposal
115;44;Proposal
0;45;Proposal
10;45;Proposal
55;45;Proposal
60;45;Proposal
4;45;Proposal
120;46;Proposal
60;46;Proposal
25;46;Proposal
5;46;Proposal
26;46;Proposal
130;47;Proposal
25;47;Proposal
20;47;Proposal
0;47;Proposal
26;47;Proposal
65;48;Proposal
70;48;Proposal
23;48;Proposal
20;48;Proposal
130;48;Proposal
50;49;Proposal
145;49;Proposal
130;49;Proposal
70;49;Proposal
45;49;Proposal
90;50;Proposal
115;50;Proposal
125;50;Proposal
116;50;Proposal
93;50;Proposal
4;51;Proposal
181;51;Proposal
140;51;Proposal
105;51;Proposal
5;51;Proposal
70;52;Proposal
0;52;Proposal
19;52;Proposal
65;52;Proposal
72;52;Proposal
80;53;Proposal
25;53;Proposal
0;53;Proposal
26;53;Proposal
100;53;Proposal
70;54;Proposal
20;54;Proposal
90;54;Proposal
19;54;Proposal
91;54;Proposal
35;55;Proposal
0;55;Proposal
36;55;Proposal
60;55;Proposal
120;55;Proposal
0;56;Proposal
20;56;Proposal
15;56;Proposal
5;56;Proposal
35;56;Proposal
25;57;Proposal
15;57;Proposal
120;57;Proposal
0;57;Proposal
26;57;Proposal
35;58;Proposal
